============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.11-s087_1
  Generated on:           Feb 09 2023  08:25:14 pm
  Module:                 picorv32
  Technology libraries:   fast_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_1P1V_0C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                              Module           Cell Count  Cell Area  Net Area   Total Area 
  gte_1830_34                                    geq_unsigned                      19     40.061     0.000       40.061 
  mux_cpu_state_1933_48                          bmux_1956                          7     37.390     0.000       37.390 
  mux_cpu_state_1917_32                          bmux_1956                          7     37.390     0.000       37.390 
  mux_cpu_state_1925_26                          bmux_1956                          7     37.390     0.000       37.390 
  mux_cpu_state_1918_26                          bmux_1956                          7     37.390     0.000       37.390 
  mux_cpu_state_1452_7                           bmux_1956                          7     37.390     0.000       37.390 
  sub_1845_23                                    sub_unsigned_1153                 17     36.055     0.000       36.055 
  mux_mem_la_wstrb_403_9                         bmux_1568                          4     32.049     0.000       32.049 
  sub_1421_51                                    sub_unsigned_1166                 14     28.043     0.000       28.043 
  mux_latched_rd_1481_9                          mux_1683                           5     26.707     0.000       26.707 
  mux_decoded_rd_891_23                          bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rd_994_13                          bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rd_986_13                          bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rd_937_35                          bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs2_891_23                         bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs2_1017_40                        bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs2_1006_40                        bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs2_986_13                         bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs2_921_488                        mux_1683                           5     26.707     0.000       26.707 
  mux_decoded_rs2_961_38                         bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs2_950_36                         bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs2_902_13                         mux_1683                           5     26.707     0.000       26.707 
  mux_decoded_rs1_891_23                         bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs1_986_13                         bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs1_937_35                         bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs1_938_38                         bmux_1183                          5     26.707     0.000       26.707 
  mux_reg_sh_1830_34                             bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rd_961_38                          bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rd_956_38                          bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rd_950_36                          bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs1_961_38                         bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs1_956_38                         bmux_1183                          5     26.707     0.000       26.707 
  mux_decoded_rs1_950_36                         bmux_1183                          5     26.707     0.000       26.707 
  mux_cpu_state_1731_8                           mux_1515                           3     24.037     0.000       24.037 
  mux_mem_state_581_10                           bmux_1933                          2     21.366     0.000       21.366 
  mux_set_mem_do_rdata_1481_9                    mux_1577                           1     21.366     0.000       21.366 
  mux_decoded_rs2_921_13                         mux_1577                           1     21.366     0.000       21.366 
  mux_set_mem_do_wdata_1481_9                    mux_1577                           1     21.366     0.000       21.366 
  mux_trap_1481_9                                mux_1577                           1     21.366     0.000       21.366 
  mux_set_mem_do_rinst_1481_9                    mux_1577                           1     21.366     0.000       21.366 
  mux_mem_wstrb_581_10                           mux_1570                           4     21.366     0.000       21.366 
  mux_mem_wstrb_583_42                           bmux_971                           4     21.366     0.000       21.366 
  mux_411_20                                     bmux_971                           4     21.366     0.000       21.366 
  mux_pcpi_timeout_counter_1419_29               bmux_971                           4     21.366     0.000       21.366 
  ctl_cpu_state_1481_9                           case_box_447                       7     18.695     0.000       18.695 
  mux_latched_store_1481_9                       mux_1381                           1     16.024     0.000       16.024 
  mux_mem_wordsize_1481_9                        mux_1284                           2     16.024     0.000       16.024 
  mux_mem_rdata_q_490_36                         bmux_1602                          3     16.024     0.000       16.024 
  mux_mem_rdata_q_489_36                         bmux_1602                          3     16.024     0.000       16.024 
  mux_mem_rdata_q_488_36                         bmux_1602                          3     16.024     0.000       16.024 
  mux_mem_rdata_q_487_36                         bmux_1602                          3     16.024     0.000       16.024 
  mux_alu_out_0_1247_3                           mux_1381                           1     16.024     0.000       16.024 
